organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, aerosols:userid,aerosols:measured at,aerosols:solar measured at,aerosols:solar noon at,aerosols:observed sky color,aerosols:observed sky clarity,aerosols:associated remote sensor,aerosols:remote sensor overflight time,aerosols:remote sensor maximum elevation angle (deg),aerosols:aerosol photometer type,aerosols:aerosol photometer serial number,aerosols:aerosol optical thickness at 505nm,aerosols:transmission percent at 505nm,aerosols:wavelength data,aerosols:comments
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,04-04-2016,10321750,2016-04-04T14:18:00,2016-04-04T07:52:00,2016-04-04T18:24:00,,,,,,calitoo,,0.068681191,93.36242808,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0778, transmission_percent: 92.5); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0627, transmission_percent: 93.9); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0505, transmission_percent: 95.1)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,04-04-2016,10321750,2016-04-04T15:27:00,2016-04-04T09:01:00,2016-04-04T18:24:00,,,,,,calitoo,,0.07267616,92.99019204,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0821, transmission_percent: 92.1); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0659, transmission_percent: 93.6); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0538, transmission_percent: 94.8)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,04-04-2016,10321750,2016-04-04T16:25:00,2016-04-04T09:59:00,2016-04-04T18:24:00,,,,,,calitoo,,0.064270973,93.77508595,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0738, transmission_percent: 92.9); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0567, transmission_percent: 94.5); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0457, transmission_percent: 95.5)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,04-04-2016,10321750,2016-04-04T17:51:00,2016-04-04T11:25:00,2016-04-04T18:24:00,,,,,,calitoo,,0.064169987,93.78455647,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0739, transmission_percent: 92.9); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0572, transmission_percent: 94.4); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0453, transmission_percent: 95.6)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,04-04-2016,10321750,2016-04-04T18:48:00,2016-04-04T12:22:00,2016-04-04T18:24:00,,,,,,calitoo,,0.06536312,93.67272571,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0779, transmission_percent: 92.5); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0592, transmission_percent: 94.3); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0424, transmission_percent: 95.8)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,05-04-2016,10321750,2016-04-05T14:34:00,2016-04-05T08:08:00,2016-04-05T18:24:00,,,,,,calitoo,,0.082312093,92.09844806,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0946, transmission_percent: 91.0); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0731, transmission_percent: 93.0); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0584, transmission_percent: 94.3)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,05-04-2016,10321750,2016-04-05T15:31:00,2016-04-05T09:05:00,2016-04-05T18:24:00,,,,,,calitoo,,0.086459355,91.71728268,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.0970, transmission_percent: 90.8); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0741, transmission_percent: 92.9); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0651, transmission_percent: 93.7)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,05-04-2016,10321750,2016-04-05T16:29:00,2016-04-05T10:03:00,2016-04-05T18:24:00,,,,,,calitoo,,0.086872683,91.67938117,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.1008, transmission_percent: 90.4); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0763, transmission_percent: 92.7); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0602, transmission_percent: 94.2)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,05-04-2016,10321750,2016-04-05T17:54:00,2016-04-05T11:28:00,2016-04-05T18:24:00,,,,,,calitoo,,0.096901707,90.76452168,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.1122, transmission_percent: 89.4); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0832, transmission_percent: 92.0); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0675, transmission_percent: 93.5)]",CALITOO S/N 0124
16577470,Northbrook High School,36398,West Parking Lot 1,29.8174,-95.533,27.2,05-04-2016,10321750,2016-04-05T18:50:00,2016-04-05T12:24:00,2016-04-05T18:24:00,,,,,,calitoo,,0.094967609,90.94023901,"[(sensor_wavelength_nm: 465, aerosol_optical_thickness: 0.1090, transmission_percent: 89.7); (sensor_wavelength_nm: 540, aerosol_optical_thickness: 0.0822, transmission_percent: 92.1); (sensor_wavelength_nm: 619, aerosol_optical_thickness: 0.0676, transmission_percent: 93.5)]",CALITOO S/N 0124
