12,8,2019,29.1
13,11,2019,12.2
22,2,2019,9.3
12,8,2018,21.5
9,6,2019,20.8
30,7,2020,25.9
14,9,2007,20.8
21,8,2006,30.7
21,7,2020,23.8
2,6,2020,26.6
8,9,2019,19.9
18,7,2010,19.4
21,6,2019,20.8
28,10,2012,12.5
22,4,2020,4.6
17,4,2018,16
11,7,2018,21.5
19,9,2019,19.9
4,6,2020,16.6
1,3,2020,12.9
26,11,2019,9.9
10,7,2020,23.7
25,4,2020,14.2
27,12,2019,10.8
22,6,2020,21.5
3,8,2019,20.2
4,12,2015,4.3
12,8,2016,29.2
19,4,2020,6.6
19,5,2020,15.6
22,5,2020,15.4
16,1,2020,-9.7
31,12,2019,0.1
11,9,2016,15.9
29,12,2019,13.2
13,9,2013,19.3
4,1,2020,9.2
13,4,2020,17
24,9,2019,20.5
2,2,2019,1.3
20,6,2019,27.5
13,4,2020,6.6
22,5,2020,15.4
23,11,2019,17.4
13,7,2020,25.6
8,4,2020,17.4
24,8,2016,24.1
30,4,2016,13.9
5,11,2019,17.4
13,6,2020,28.4
18,5,2020,19.9
30,10,2019,22.3
3,7,2019,23
30,12,2019,10.8
13,5,2020,21.3
5,1,2020,9.2
7,5,2020,13.7
11,7,2020,24.8
31,10,2019,17.9
6,7,2019,26.3
10,10,2018,21.1
8,7,2020,24.1
4,4,2020,17.6
9,4,2018,10.4
15,7,2004,22.6
5,6,2019,16.6
21,6,2020,22.4
8,8,2006,30.7
17,2,2012,4.1
26,7,2020,25.6
25,7,2020,34.9
18,6,2020,22.6
27,7,2020,25.6
31,7,2020,24.1
18,7,2020,25.6
14,3,2019,12.9
10,7,2020,26
23,7,2020,28.4
6,9,2016,17.2
9,2,2013,-2.7
30,7,2014,20.4
24,1,2016,7
7,2,2017,6.3
3,9,2018,21.7
4,6,2018,13.9
22,5,2020,12
30,7,2020,25.1
7,7,2020,30
11,5,2020,15.1
24,4,2018,15.9
16,10,2019,11.8
25,7,2020,24.4
21,7,2020,25.1
28,7,2020,24.1
22,5,2020,15.4
27,6,2020,23.1
19,7,2020,24.8
8,12,2019,3.6
16,11,2019,5.5
5,7,2020,30
1,7,2020,25.9
26,10,2018,14.1
9,2,2015,8.7
4,6,2019,26.2
28,1,2020,7.8
18,7,2020,26
25,7,2020,24.1
23,8,2016,20.1
31,7,2014,21.8
26,7,2020,25.1
2,9,2018,19.6
31,7,2020,24.1
20,7,2020,31.1
14,2,2019,-3
23,7,2020,25.1
14,7,2019,24.9
9,1,2020,10.3
27,6,2020,17.7
21,7,2020,25.1
31,7,2020,24.1
8,7,2020,30
27,5,2018,13.4
5,5,2020,16
29,11,2019,-4.3
24,11,2018,11
10,6,2019,17.8
24,12,2019,9.5
27,7,2020,24.8
28,6,2020,22.4
13,1,2020,7.8
25,7,2020,34.9
31,7,2020,22.3
31,7,2020,22.3
29,7,2020,25.1
24,3,2019,10.7
28,7,2020,25.1
31,3,2020,12.8
22,7,2020,22.3
22,7,2020,24.4
12,4,2020,7.7
4,7,2019,23.9
23,8,2019,23.5
17,8,2019,20.2
1,7,2018,23.5
17,8,2019,20.2
17,8,2019,20.2
14,9,2019,19.9
1,8,2019,23.5
5,8,2019,25.9
17,11,2019,14.8
30,8,2016,20.1
25,3,2017,8.9
26,9,2016,17.2
4,6,2016,18.3
5,6,2014,16.3
19,7,2006,23.8
22,6,2016,17.1
24,4,2018,15.2
25,2,2017,-2.4
4,6,2016,18.3
3,3,2017,8.9
5,10,2016,22.3
8,6,2016,18.3
27,11,2013,8.8
11,1,2013,5.5
19,9,2008,20.5
5,5,2013,14.3
14,9,2019,19.9
14,9,2019,19.9
12,9,2019,19.9
12,9,2019,19.9
13,9,2019,19.9
30,4,2018,12.7
24,4,2018,15.2
26,11,2018,17.6
18,11,2017,19.1
1,6,2018,21.8
1,3,2017,8.9
20,1,2017,12.1
8,6,2014,16.3
17,10,2007,10
9,4,2015,12.6
9,3,2020,14.8
12,9,2019,19.9
10,9,2019,24.4
13,9,2019,19.9
22,4,2018,10.4
6,9,2017,23.8
8,6,2016,18.3
10,10,2015,23.4
23,4,2011,5.9
10,4,2015,12.6
23,11,2013,8.8
11,1,2013,5.5
28,5,2012,12.6
29,10,2011,12
25,10,2011,12
29,10,2011,12
2,3,2017,5.8
30,7,2020,24.8
30,7,2020,30
31,7,2020,24.1
25,7,2020,23.8
14,4,2017,12.8
27,6,2020,22.4
23,7,2020,25.6
28,7,2020,19.1
26,7,2020,31.1
24,7,2020,26.3
3,5,2018,19.4
28,7,2020,21.8
30,7,2020,29.5
