gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2862673334,Lithobates catesbeianus,45.501736,-122.986079,17,11,2019,29.4,9.9,2.7,0.149787033,86.08912982
2862577374,Lithobates catesbeianus,45.873928,-122.805878,30,4,2020,22.8,13.8,15.1,0.057493015,94.41284855
2862562651,Lithobates catesbeianus,39.632187,-91.265167,9,7,2019,132.9,25.7,27.5,0.141505622,86.80502952
2862544457,Lithobates catesbeianus,37.114716,-122.0616,24,7,2020,0,24.1,19,0.077270456,92.56394745
2862532900,Lithobates catesbeianus,44.548498,-73.121264,18,7,2020,3.8,22.5,27,0.122710005,88.45201318
2862497384,Lithobates catesbeianus,48.826449,-122.575965,27,5,2020,21.6,15.4,12.6,0.073833771,92.88260784
2862487336,Lithobates catesbeianus,30.458675,-88.688145,23,6,2019,100.9,26.3,24.5,0.136693037,87.223793
2862486631,Lithobates catesbeianus,32.348992,-99.70938,30,6,2020,0.2,26.9,24.1,0.212363028,80.86710743
2862482713,Lithobates catesbeianus,41.139772,-81.575088,5,7,2014,61.1,21.9,21.6,-0.1568,101
2862451793,Lithobates catesbeianus,37.364119,-120.424751,27,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2862447338,Lithobates catesbeianus,40.126348,-88.209454,25,7,2019,74.1,25.5,27.5,0.20428504,81.52299648
2862414358,Lithobates catesbeianus,41.32147,-76.2816,26,7,2020,106,25,27,0.122710005,88.45201318
2862377277,Lithobates catesbeianus,40.598328,-79.124772,27,4,2018,52,3.7,10.4,0.06478437,93.72695447
2862344332,Lithobates catesbeianus,40.126348,-88.209454,25,7,2019,74.1,25.5,27.5,0.20428504,81.52299648
2862343442,Lithobates catesbeianus,33.044444,-116.652778,26,7,2020,0,19.1,19,0.077270456,92.56394745
2862337337,Lithobates catesbeianus,30.187605,-96.957877,27,7,2019,19.2,28.3,27.5,0.136264386,87.26118956
2862334179,Lithobates catesbeianus,36.600581,-94.363503,15,7,2020,260.3,28.8,30.7,0.09813067,90.65304401
2862328324,Lithobates catesbeianus,34.151989,-84.705963,25,7,2019,74.1,24.8,27.5,0.141505622,86.80502952
2862308406,Lithobates catesbeianus,43.58423,-116.231081,21,6,2020,43.7,21.1,16.9,0.077960419,92.50010382
2862301635,Lithobates catesbeianus,41.10871,-73.829904,26,7,2020,150.2,25.7,27,0.122710005,88.45201318
2862301380,Lithobates catesbeianus,32.634114,-96.971376,5,6,2020,0.2,26.9,24.1,0.212363028,80.86710743
